IPA	FID	Combined class:	Segment class:	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
õ̞ĩ	52015C3FEB4787D25971875A8A7624A8	v-d-c-v-c	vowel	-		+	+,-		-	-	+	-			+	-		-,+	-,+	+,-	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+		-
ɲ̟	5219139C492A25130312A2A2D5010359	c-d	consonant		-	-	-	-	+	-	-	+		+	+	-	-	+	+	-		-	-	-	-	+	+	-			-	+	-	-	-	-	-			-
ɯ̃ː	522AB5875421DEAAD8D1B4D16D5DD114	v-c-d	vowel	-		+	+		-	-	+	-			+	-		-	+	-		-	+	-	-	+	+	-	-		-	+	-	-		+	-	+		-
qǀ	524FD339625FE96646D394830839FD64	c-c	consonant		+	-	+	+	+	-	-	+	-	+	+	-	-	-	-	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
zʷ	52A02A54B8DDD98E4E4860BC2D154170	c-d	consonant		+	-		-	+	-	+	+	+	-	-	-	-			+		-	-		-	-	+	-		+	-	-	-	-	+	-	-			-
wai̯	52A74A536BE4BE8AE14FDC582BBDF6F2	c-v-v-d	consonant	-		+	+,-,-	-	-	-	+	-			+	-	-	-,+	+,-,+	+,-,-	-	-	-	-,+,-	-	-	+	-	-	+	-	+	-	-		-	-	+		-
ɮ̤	52C0E73FAC2302869E16E705DC11220F	c-d	consonant		+	-		-	+	-	+	+	+	-	-	-	-			-		+	-		-	-	+	-			-	-	+	-	-	-	-			-
d̻ʲ	5325B0E86EBD3B07DA9C004A446D55B0	c-d-d	consonant		+	-	+	-	+	-	-	+	-	+	+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
sᶣ	532856F75A9612253F04A9D3C3A40543	c-d	consonant		+	-	+	-	+	-	+	+	+	-	+	-	-	+	+	+		-	-	-	-	-	-	-		+	-	-	-	-	+	-	-			-
ŋǃʰ	53597114D131AE82FB0C6473DC73E6A2	c-c-c	consonant		+	-	-	+	+	-	-	+	-	-	+	-	-	-	+	-		-	-	-	-	+	+	-			-	-	+	-	-	-	-			-
aɨ	535A826D1EC88966353000B3B05C2094	v-v	vowel	-		+	-		-	-	+	-			+	-		-	-,+	-		-	-	+,-	-	-	+	-	-		-	+	-	-		+	-	+		-
kǀxʼ	535CE56578B35ABEE01395F9A1460A7E	c-c-c-c	consonant		+	-	-	+	+	+	-	+	-	+	+	-	-	-	+	-		-	-	-	-	-	-	+			-	-	-	-	-	-	-			-
ɟ̰	535E3A80BD17F755C3E0DA6ECF8CCB90	c-d	consonant		-	-	-	-	+	+	-	+	-	+	+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
æ̤	5365D21020FED76115C4068D65068C86	v-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+	-	-	+	-	-		-	+	+	-		+	-			-
øy	53B65904C580B6127EAC771F35DE1818	v-v	vowel	-		+	-		-	-	+	-			+	-		+	-,+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ṳa̤	53CA6E6053139E734869E15446236D7A	v-d-v-d	vowel	-		+	+,-		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-,+	-	-	+	-	-	+	-	+	+	-		+	-	+		-
lʲ	548D8E709B3C8F7FFB5983EA5E033D11	c-d	consonant		+	+	+	-	+	-	+	+		-	+	-	-	+	+	-		+	-	-	-	-	+	-			-	+	-	-	-	-	-			-
t̠ʃʷ	54A6714004BC6D660C5CD98F98D60CB7	c-d-c-d	consonant		-	-		-	+	-	-	+	+	+	-	-	-			+		-	-		-	-	-	-		+	-	-	-	-	+	-	-			-
ˀp	54E8DB7BBF6DAF8BC6FB0DBF0F5C9EA6	c-c	consonant			-		-	+	+	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
zː	55178E3BFB75E825B7E1DDB1ECAC84EA	c-d	consonant		+	-		-	+	-	+	+	+	-	-	-	-			-		-	+		-	-	+	-			-	-	-	-	+	-	-			-
ɯ̞̯	55194A2D84426C53292DC725E69FBA50	v-d-d	vowel	-		+	+		-	-	+	-			+	-		-	+	-		-	-	-	-	-	+	-	-		-	+	-	-		-	-	+		-
ɢː	5539D30B2EFDF0C85D7E9A5319331C78	c-d	consonant			-	+	-	+	-	-	-	-		+	-	-	-	-	-		-	+	-	-	-	+	-			-	-	-	-		-	-			-
ʊ̈ː	554E02375C0749C619F42FF2DF941B5A	v-d-d	vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
e̞u	5577A69657C1F17F39249B290C066076	v-d-v	vowel	-		+	-,+		-	-	+	-			+	-		+,-	-,+	-,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ɽ̃	558EB9E0D21C4B2AF8EA78F96AADF1E6	c-c	consonant		-	+		-	+	-	+	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	+			-
ɡɣ	5592E2639E01C213ECF6190D56052EE4	c-c	consonant			-	-	-	+	-	-	-	+		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ɗ̥	55ACDF9D9A333F906BAD777ADC6E38BA	c-d	consonant		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		+	-	-	-			-	-	+	-	-	-	-			-
ɔ	55C328C4539D138964636333EABA3949	v	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
l̪̰	55F433B1642BD3425691D03FA5DEE0E8	c-d-d	consonant		+	+		-	+	+	+	+		+	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
ʕ	55F94F929CDB58CDE9BE8333787E3A31	c	consonant			-	+	-	+	-	+	-	+		+	-	-	-	-	-		-	-	+	-	-	+	-			-	-	-	-		-	-			-
ɑ̃	55FDF5C7AED74ADA223A64EC6859373F	v-c	vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	+	-	+	+	-	-		-	+	-	-		+	-			-
je	565F4D54F251CA28919DEA0298E2FA03	c-v	consonant	-		+	-	-	-	-	+	-			+	-	-	+	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		-,+	-	+		-
tɬ	5685FEAEF0E34B92C6562FDE7687D3DA	c-c	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		+	-		-	-	-	-			-	-	-	-	-	-	-			-
l̠	56B9954890127E90B74FC1147AE7B74E	c-d	consonant		-	+		-	+	-	+	+		+	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
v̤	56BAE051909600A6A3D533C88EA723BC	c-d	consonant			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	+	-		-	-	-	+	-		-	-			-
˦ː	56BCAA1BD7F07E17ED36FEE1E25D120D	t-d	tone																				+								-								+	
ɒ	5745AAC70E7A7B7175204204FFBE639F	v	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	+	-	-	+	-	-	+	-	+	-	-		+	-			-
ɡǁxʼ	576002A02119FDFAE27C1DF7E9BABA7D	c-c-c-c	consonant		+	-	-	+	+	+	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	+	+			-	-	-	-	-	-	-			-
ʈɽ	5775BE5C6FBF94BF2788DB47E9746E38	c-c	consonant		-	-,+		-	+	-	-,+	+	-	-	-	-	-			-		-	-		-	-	-,+	-			-	-,+	-	-	-	-	-,+			-
mʲ	57EA8AF98F6DB6ABCCA78C07BA1F964C	c-d	consonant			-	+	-	+	-	-	-			+	-	-	+	+	+	-	-	-	-	-	+	+	-		-	-	+	-	-		-	-			-
˦↓˦	580FEDB5E211EA949F256264D5019244	t-t-t	tone																																				+	
ɹˤ	582C075630E57BB7AC4B63888197570B	c-c	consonant	-	-	+		-	-	-	+	+		+	-	-	-			-		-	-		-	-	+	-	+		-	+	-	-	-	-	-			-
b̤	584E53EB5DC897FE333F996BB3854365	c-d	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	+	-		-	-			-
t̃	5873AF135A95A1F5840AD498CDCF0B29	c-c	consonant		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	+	-	-			-	-	-	-	-	-	-			-
u	58EB693AE523323410326D60806B9ADF	v	vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ø̞ː	58ED4FBAE20072499B6252D11B9A80A6	v-d-d	vowel	-		+	-		-	-	+	-			+	-		+	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ɯ̞̆	599EB013F7939B74DCE523F9E02FBE59	v-d-d	vowel	-		+	+		-	-	+	-			+	-		-	+	-		-	-	-	-	-	+	-	-		+	+	-	-		+	-	+		-
t̪ʰː	59A329EC02A785D9A7FB7B6C94339D38	c-d-c-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			-		-	+		-	-	-	-			-	-	+	-	-	-	-			-
aˑ	59A9622EE2AA9F009FAF65B80537F3F1	v-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	+	+	-	-	+	-	-		+	+	-	-		+	-			-
ɦ̤	59B3711219ECAEB715E2BD1DDC980356	c-d	consonant			-		-	-	-	+	-	+		-	-	-			-		-	-		-	-	+	-			-	-	+	-		-	-			-
ʎ̥	5A0564168E190167424F82AA99BCC7E4	c-d	consonant		-	+	-	-	+	-	+	+		+	+	-	-	+	+	-		+	-	-	-	-	-	-			-	+	+	-	-	-	-			-
a̰ʰ	5A3C6474CFCC28D10AD1D172AD9BD575	v-d-c	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	+	-		+	-			-
mɓ	5A57B19070C30C0F578829D1BE67A8E4	c-c	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-,+	+,-	+	-		-	-	+,-	-	-		-	-			-
ŋ̥ǀ͓ʰ	5A753E4C9C06D37EC38B1D8796F9CD05	c-d-c-d-c	consonant		+	-	-	+	+	-	-	+	+	+	+	-	-	-	+	-		-	-	-	-	+	-	-			-	-	+	-	-	-	-			-
k	5A838FF4DABE1950734CFAFAB9383903	c	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
o	5AC0158A367D59E8C16A876321E578AB	v	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ṳə̤	5AD7022B67DA4290DD211BFB04484EA7	v-d-v-d	vowel	-		+	+,-		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	+	-		+	-	+,-		-
d̪ʷ	5AD956CFF9D6950DBCC67AD6C2204687	c-d-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			+		-	-		-	-	+	-		+	-	-	-	-	-	-	-			-
t̪ɬ̪ˀ	5ADFF951876F45755017548C173E3002	c-d-c-d-c	consonant		+	-		-	+	+	-	+	+	+	-	-	-			-		+	-		-	-	-	-			-	-	-	-	-	-	-			-
m	5AE9663626770D1D4B97AAE5769AB83C	c	consonant			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-
ɕ	5B46730211D403D44939C20A4D77EACA	c	consonant		+	-	-	-	+	-	+	+	+	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	+	-	-			-
kǀ͓	5B5618831341515DD89BFF5F2BB97779	c-c-d	consonant		+	-	-	+	+	-	-	+	+	+	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
oũ	5B623137907B08DB9EEF4D1DC075D000	v-v-c	vowel	-		+	+		-	-	+	-			+	-		-	-,+	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+		-
ʋ	5B8A0392206611F78C6A5ABCF5A4952F	c	consonant			+		-	-	-	+	-			-	-	-			+	+	-	-		-	-	+	-		-	-	+	-	-		-	-			-
lʔ	5B9E7589B4F44D3E746AA9BDFD98D3B1	c-c	consonant		+	+,-		-	+	-,+	+,-	+,-	-	-	-	-	-			-		+,-	-		-	-	+,-	-			-	+,-	-	-	-	-	-			-
ˀɖ	5BD3FDCBC25542355A7CECD162906C70	c-c	consonant		-	-		-	+	+	-	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
n̠t̠ʃ	5BE4C11A46BF8574A311C86A500B67E9	c-d-c-d-c	consonant		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	+,-	-	-			-	+,-	-	-	+	-	-			-
wo	5BE6244CB05D38202EE3083DB788D3FB	c-v	consonant	-		+	+	-	-	-	+	-			+	-	-	-	+,-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		-,+	-	+		-
ɾ͓	5C02344873C0E7A9E0F3E7864E0ABE31	c-d	consonant		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	+			-
ɤː	5C19A8FEDB2B0124AA7C66E689586A64	v-d	vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
f͉	5C3BAAEF2F9D0B7F9FC4D9AFC6004B3A	c-d	consonant			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-
ɲ̰	5C6E5C51464EE464DD1D81153022418A	c-d	consonant		-	-	-	-	+	+	-	+		+	+	-	-	+	+	-		-	-	-	-	+	+	-			-	+	-	-	-	-	-			-
m̥ʷ	5C9827BCB577245C66FE669DA3B713B8	c-d-d	consonant			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	-	-		+	-	+	+	-		-	-			-
o̞̰	5C9ADDA4C02F5EB46361D7BB334B36E2	v-d-d	vowel	-		+	+		-	+	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ʊ̤	5CB433F316129C1D79B06FAB958C7A57	v-d	vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	+	-		+	-	-		-
ɔi	5CB65BAFE5AF67F18E1AA6A8DE42F618	v-v	vowel	-		+	+,-		-	-	+	-			+	-		-,+	-,+	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-,+		-
b̤z̤	5CC18D8041AA729BC46F4EF87183A955	c-d-c-d	consonant		+	-		-	+	-	-,+	-,+	-,+	-	-	-	-			+,-	-	-	-		-	-	+	-		-	-	-	+	-	+	-	-			-
d̠ⁿ	5CCDD89A6E3DE30CB63DAC2353A76D21	c-d-d	consonant		-	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-,+	+	-			-	-	-	-	-	-	-			-
zˤ	5CD0683A71734F676F28F2E766031D42	c-c	consonant	-	+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	+	-	+		-	-	-	-	+	-	-			-
ie̞	5CFD17D860BE399275222AD5CA4357F1	v-v-d	vowel	-		+	-		-	-	+	-			+	-		+	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
r	5D1D7FB69E1A3C0C60001FBC0C19ED87	c	consonant		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	-			+
ɡʼkxʼ	5D256687CEFAEB4FE04B2C22F4C610C8	c-c-c-c-c	consonant					-																																
t̪s̪	5D948F2472DF73583FDD0CCC30D60915	c-d-c-d	consonant		+	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ø	5D97E1AF6BCE612603ABA26C7DDB941F	v	vowel	-		+	-		-	-	+	-			+	-		+	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
iːɛ	5DEBDA50D0F72740623BC33C065BFA59	v-d-v	vowel	-		+	-		-	-	+	-			+	-		+	+,-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+,-		-
qǂʰ	5DF781D6598F822669C1B808E562FC7E	c-c-c	consonant		-	-	+	+	+	-	-	+	-	+	+	-	-	-	-	-		-	-	-	-	-	-	-			-	-	+	-	-	-	-			-
d̪̤̥	5E056D01F9CDE811011542A7BCDD8EC0	c-d-d-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	-	-			-	-	+	-	-	-	-			-
ai	5E12425DA8E8C8FD24F187BE6A56D20F	v-v	vowel	-		+	-		-	-	+	-			+	-		-,+	-,+	-		-	-	+,-	-	-	+	-	-		-	+	-	-		+	-	+		-
d̪ɦ	5E18B4BE8652D5C5B9174E43C938B00D	c-d-c	consonant		+	-		-	+,-	-	-,+	+,-	-,+	+	-	-	-			-		-	-		-	-	+	-			-	-	-,+	-	-	-	-			-
ʁ̞	5E30A73E56E822286C7DAAC32F1D2652	c-d	consonant			-	+	-	+	-	+	-	+		+	-	-	-	-	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
d̤z	5E6C92549CA628DFAAA5B3745B91F6E8	c-d-c	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	+	-	+	-	-			-
a̰	5EDDCD762502FA9F1E90DEB15E6EB55E	v-d	vowel	-		+	-		-	+	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-
kŋ	5EEB45A1AF10227C46CDEF127EC02248	c-c	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-,+	-,+	-			-	-,+	-	-		-	-			-
ˀn	5EF4491102FB3BF4627E8D0313513FF4	c-c	consonant		+	-		-	+	+	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
ʒʲ	5F115A29C7B2D20706737A6E2890F58E	c-d	consonant		-	-	+	-	+	-	+	+	+	+	+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-	+	-	-			-
kǃǃx	5F1D9E32B92D8037945C61B414C781BD	c-c-c-c	consonant		+	-	-	+	+	-	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
q̰ʷ	5F56109919462DDAA2B294300E40C3EA	c-d-d	consonant			-	+	-	+	+	-	-	-		+	-	-	-	-	+		-	-	-	-	-	-	-		+	-	-	-	-		-	-			-
d̩	5F97CBAE2A86A8917EA78FED2E640CE7	c-d	consonant		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	+	-			-
ŋ̥ǂ͓ˡxˀ	5F9E77C7C8FB6A3D447E4CF3D7D27F1E	c-d-c-d-d-c-c	consonant		-	-	-	+	+	+	-	+	+	+	+	-	-	-	+	-		-,+	-	-	-	+	-	-			-	-	-	-	-	-	-			-
æẽ̯	601922C069139BA89AB21F038ECDC55C	v-v-d-c	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+,-	-	+	+	-	-		-	+	-	-		-	-	+		-
kǀ͓ʰ	604B8C76DC036E183BDBAFEEB15E6A79	c-c-d-c	consonant		+	-	-	+	+	-	-	+	+	+	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	+	-	-	-	-			-
t̻s̻ʰ	610491FFF6ADD9B96F79F33B1AA47BC1	c-d-c-d-c	consonant		+	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	+	-	+	-	-			-
ndz	6111653BBE56DBB48CBBD7F18DB2D7DF	c-c-c	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	+,-	+	-			-	+,-	-	-	+	-	-			-
u͓	614F55AF2945423229D3596FCD0CED32	v-d	vowel	-		-	+		+	-	+	-	+		+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	-	-	-		+	-	+		-
ntsʼ	615FF86251B65BFCF82C58389090D37F	c-c-c-c	consonant		+	-		-	+	+	-	+	+	-	-	-	-			-		-	-		-	+,-	-	+			-	+,-	-	-	+	-	-			-
uẽ	61640D2E5274E4411B7254A85170CCF5	v-v-c	vowel	-		+	+,-		-	-	+	-			+	-		-,+	+,-	+,-	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+		-
n̠	617E525C3B9564276DBE1D819C09EF03	c-d	consonant		-	-		-	+	-	-	+		+	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
ɾ̪ˠ	61EE078949725172C80846A710E4F383	c-d-d	consonant		+	+	+	-	+	-	+	+		+	+	-	-	-	+	-		-	-	-	-	-	+	-			-	+	-	-	-	-	+			-
tʼː	621CCB2F15954DE1F5EEDA27735838D0	c-c-d	consonant		+	-		-	+	+	-	+	-	-	-	-	-			-		-	+		-	-	-	+			-	-	-	-	-	-	-			-
ɛw	624B7E66CA820620C29DE7A32FBD3CB9	v-c	vowel	-		+	-,+	-	-	-	+	-			+	-	-	+,-	-,+	-,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+,-	-	-,+		-
dˤː	627DB1FA7EE61BF18AAE10574068625A	c-c-d	consonant	-	+	-		-	+	-	-	+	-	-	-	-	-			-		-	+		-	-	+	-	+		-	-	-	-	-	-	-			-
ɴq	62855E0C36A83F8A970A734D237DE0CB	c-c	consonant			-	+	-	+	-	-	-	-		+	-	-	-	-	-		-	-	-	-	+,-	+,-	-			-	+,-	-	-		-	-			-
ᴅ	6289FA51CE1564F60633C2D1E19EE574	c	consonant		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	+			-
ɰ	62B50AA4D6AD6E1D010DD073BCD23B7E	c	consonant			+	+	-	-	-	+	-			+	-	-	-	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
ɬ̪ː	62BA7698D39AFBABD9724C9D2719C963	c-d-d	consonant		+	-		-	+	-	+	+	+	+	-	-	-			-		+	+		-	-	-	-			-	-	-	-	-	-	-			-
n̪s̪	62DB4BCF2A09F9E669FB85BC01AC054C	c-d-c-d	consonant		+	-		-	+	-	-,+	+	+	+	-	-	-			-		-	-		-	+,-	+,-	-			-	+,-	-	-	-,+	-	-			-
ʌ̃	62F2D358037999DD8307B44E411EB868	v-c	vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	-		-
ts͇ʰ	6317AC4566C7464A377FF07157466BA3	c-c-d-c	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	+	-	+	-	-			-
ɬ̪ʷː	6341BDA9057077E5710E52D7BE5A4762	c-d-d-d	consonant		+	-		-	+	-	+	+	+	+	-	-	-			+		+	+		-	-	-	-		+	-	-	-	-	-	-	-			-
ɪ̃ː	63722C39F4E7493D80E4F4D8AC7241CB	v-c-d	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	+	-	-	+	+	-	-		-	+	-	-		+	-	-		-
nɡ	638362CDD37FDE8A01ABD3358AE8B132	c-c	consonant		+	-	-	-	+	-	-	+,-	-	-	-,+	-	-	-	+	-		-	-	-	-	+,-	+	-			-	+,-	-	-	-	-	-			-
ɣ͈ː	63B7087A1443D5D7C080975F1D8FD27D	c-d-d	consonant			-	-	-	+	-	+	-	+		+	-	+	-	+	-		-	+	-	-	-	+	-			-	-	-	-		-	-			-
ea	63CD412322D571F5E7A86EF13A2A5684	v-v	vowel	-		+	-		-	-	+	-			+	-		+,-	-	-		-	-	-,+	-	-	+	-	-		-	+	-	-		+	-	+		-
ỹ	6412456DD80E58C43C3B650925AB2068	v-c	vowel	-		+	-		-	-	+	-			+	-		+	+	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+		-
t̰	641796D23D5C33828E2EA3666E9DBD89	c-d	consonant		+	-		-	+	+	-	+	-	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
tɕᶣ	641F2DA4E1751BF31A8F504532EAB584	c-c-d	consonant		+	-	+	-	+	-	-	+	+	+	+	-	-	+	+	+		-	-	-	-	-	-	-		+	-	-	-	-	+	-	-			-
ɲʄ	6431A3FC88A817A9575B198E33496446	c-c	consonant		-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-		-	-	-	-,+	+,-	+	-			-	+,-	-	-	-	-	-			-
pʼ	646674CE0AF099A6E69FB25363B53313	c-c	consonant			-		-	+	+	-	-	-		-	-	-			+	-	-	-		-	-	-	+		-	-	-	-	-		-	-			-
t̪s̪ʷː	64A09FF4041A622A0B6964DFA080A5C0	c-d-c-d-d-d	consonant		+	-		-	+	-	-	+	+	+	-	-	-			+		-	+		-	-	-	-		+	-	-	-	-	+	-	-			-
ɣ̟ʲ	64BE904ADBB13847AFFE6ACB03371049	c-d-d	consonant			-	+	-	+	-	+	-	+		+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ɵ̞ː	64E52F5C42AF45C07E1349BEB181A104	v-d-d	vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
s̪ʰ	64E99626AB1B5A41EA6E931252B5176A	c-d-c	consonant		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	+	-	+	-	-			-
ʈ	64EABC4FDF5DE0BE02E889701FD34147	c	consonant		-	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
kǁ	65096E7199FB5D6118AA4E120AA1E858	c-c	consonant		+	-	-	+	+	-	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
jo	65166C7D3798281A7DB03D3CF2B49C25	c-v	consonant	-		+	-,+	-	-	-	+	-			+	-	-	+,-	+,-	-,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		-,+	-	+		-
sʷ	6576638EF4391DBEAFB44F37A062CD2D	c-d	consonant		+	-		-	+	-	+	+	+	-	-	-	-			+		-	-		-	-	-	-		+	-	-	-	-	+	-	-			-
l̪ˤ	657927591D7E6185B6BCE4C3AA68423F	c-d-c	consonant	-	+	+		-	+	-	+	+		+	-	-	-			-		+	-		-	-	+	-	+		-	+	-	-	-	-	-			-
uaː	6594B9BEBE3F32C38373883E8F27479C	v-v-d	vowel	-		+	+,-		-	-	+	-			+	-		-	+,-	+,-	-	-	+	-,+	-	-	+	-	-	+	-	+	-	-		+	-	+		-
nl	65A2555502FB75CB41DBF6F4989E1496	c-c	consonant		+	-,+		-	+	-	-,+	+		-	-	-	-			-		-,+	-		-	+,-	+	-			-	+	-	-	-	-	-			-
x͈	65A2A98D5831A675356CA6D0AB9F73AC	c-d	consonant			-	-	-	+	-	+	-	+		+	-	+	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
œu	65A75F08917C13125A74DBB0EE195435	v-v	vowel	-		+	-,+		-	-	+	-			+	-		+,-	-,+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-,+		-
vː	65E3E8CBCB25FDD4C20F50FBE2AE687E	c-d	consonant			-		-	+	-	+	-	+		-	-	-			+	+	-	+		-	-	+	-		-	-	-	-	-		-	-			-
dɾ	65EF586A974AE9089ECD2B8882096BA4	c-c	consonant		+	-,+		-	+	-	-,+	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-,+	-	-	-	-	-,+			-
ʕː	66193B010741E85E33842E8BF66CA9F0	c-d	consonant			-	+	-	+	-	+	-	+		+	-	-	-	-	-		-	+	+	-	-	+	-			-	-	-	-		-	-			-
